,date,fold,y_true,kmeans_state,hmm_state,kmeans_prob,hmm_prob_hard,hmm_prob_soft,kmeans_risk_rank,train_event_rate_x,hmm_risk_rank,train_event_rate_y,price
103,2009-06-02,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1412.8499755859375
104,2009-06-03,1,0,2,2,0.16,0.1424657534246575,0.1424657534246594,3,0.16,3,0.1424657534246575,1414.8900146484375
105,2009-06-04,1,0,2,2,0.16,0.1424657534246575,0.1424657534245835,3,0.16,3,0.1424657534246575,1378.1400146484375
106,2009-06-05,1,0,2,2,0.16,0.1424657534246575,0.1424657534246823,3,0.16,3,0.1424657534246575,1394.7099609375
107,2009-06-08,1,0,2,2,0.16,0.1424657534246575,0.1424657534246312,3,0.16,3,0.1424657534246575,1393.300048828125
108,2009-06-09,1,0,2,2,0.16,0.1424657534246575,0.1424657534199181,3,0.16,3,0.1424657534246575,1371.8399658203125
109,2009-06-10,1,0,2,2,0.16,0.1424657534246575,0.1424657534245958,3,0.16,3,0.1424657534246575,1414.8800048828125
110,2009-06-11,1,0,2,2,0.16,0.1424657534246575,0.1424657534245932,3,0.16,3,0.1424657534246575,1419.3900146484375
111,2009-06-12,1,0,2,2,0.16,0.1424657534246575,0.1424657534246696,3,0.16,3,0.1424657534246575,1428.5899658203125
112,2009-06-15,1,0,2,2,0.16,0.1424657534246575,0.1424657534245718,3,0.16,3,0.1424657534246575,1412.4200439453125
113,2009-06-16,1,0,2,2,0.16,0.1424657534246575,0.1424657534204491,3,0.16,3,0.1424657534246575,1399.1500244140625
114,2009-06-17,1,0,2,2,0.16,0.1424657534246575,0.142465753354788,3,0.16,3,0.1424657534246575,1391.1700439453125
115,2009-06-18,1,0,2,2,0.16,0.1424657534246575,0.142465752843984,3,0.16,3,0.1424657534246575,1375.760009765625
116,2009-06-19,1,0,2,2,0.16,0.1424657534246575,0.1424657532651679,3,0.16,3,0.1424657534246575,1383.3399658203125
117,2009-06-22,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657533844441,1,0.0897226753670473,3,0.1424657534246575,1399.7099609375
118,2009-06-23,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657367071265,1,0.0897226753670473,3,0.1424657534246575,1360.5400390625
119,2009-06-24,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657480205735,1,0.0897226753670473,3,0.1424657534246575,1363.7900390625
120,2009-06-25,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657531827129,1,0.0897226753670473,3,0.1424657534246575,1392.72998046875
121,2009-06-26,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657530339032,1,0.0897226753670473,3,0.1424657534246575,1394.530029296875
122,2009-06-29,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657531347077,1,0.0897226753670473,3,0.1424657534246575,1388.449951171875
123,2009-06-30,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657528069604,1,0.0897226753670473,3,0.1424657534246575,1390.0699462890625
124,2009-07-01,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657533342814,1,0.0897226753670473,3,0.1424657534246575,1411.6600341796875
125,2009-07-02,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657528401342,1,0.0897226753670473,3,0.1424657534246575,1411.47998046875
126,2009-07-03,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657533280403,1,0.0897226753670473,3,0.1424657534246575,1420.0400390625
127,2009-07-06,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657532557529,1,0.0897226753670473,3,0.1424657534246575,1428.93994140625
128,2009-07-07,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657533294129,1,0.0897226753670473,3,0.1424657534246575,1434.199951171875
129,2009-07-08,1,0,2,2,0.16,0.1424657534246575,0.1424657533658454,3,0.16,3,0.1424657534246575,1431.02001953125
130,2009-07-09,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657518543401,1,0.0897226753670473,3,0.1424657534246575,1430.8900146484375
131,2009-07-10,1,0,0,2,0.0897226753670473,0.1424657534246575,0.142465742037487,1,0.0897226753670473,3,0.1424657534246575,1428.6199951171875
132,2009-07-13,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424640383193644,1,0.0897226753670473,3,0.1424657534246575,1378.1199951171875
133,2009-07-14,1,0,0,2,0.0897226753670473,0.1424657534246575,0.142465077609888,1,0.0897226753670473,3,0.1424657534246575,1385.56005859375
134,2009-07-15,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657495569477,1,0.0897226753670473,3,0.1424657534246575,1420.8599853515625
135,2009-07-16,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657527849236,1,0.0897226753670473,3,0.1424657534246575,1432.219970703125
136,2009-07-17,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657532611245,1,0.0897226753670473,3,0.1424657534246575,1440.0999755859375
137,2009-07-20,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657534217248,1,0.0897226753670473,3,0.1424657534246575,1478.510009765625
138,2009-07-21,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657534232815,1,0.0897226753670473,3,0.1424657534246575,1488.989990234375
139,2009-07-22,1,0,2,2,0.16,0.1424657534246575,0.142465753424004,3,0.16,3,0.1424657534246575,1494.0400390625
140,2009-07-23,1,0,2,2,0.16,0.1424657534246575,0.1424657534237333,3,0.16,3,0.1424657534246575,1496.489990234375
141,2009-07-24,1,0,2,2,0.16,0.1424657534246575,0.1424657534237692,3,0.16,3,0.1424657534246575,1502.5899658203125
142,2009-07-27,1,0,2,2,0.16,0.1424657534246575,0.1424657534245759,3,0.16,3,0.1424657534246575,1524.050048828125
143,2009-07-28,1,0,2,2,0.16,0.1424657534246575,0.1424657534246382,3,0.16,3,0.1424657534246575,1526.030029296875
144,2009-07-29,1,0,2,2,0.16,0.1424657534246575,0.1424657534245471,3,0.16,3,0.1424657534246575,1524.3199462890625
145,2009-07-30,1,0,2,2,0.16,0.1424657534246575,0.1424657534245109,3,0.16,3,0.1424657534246575,1534.739990234375
